timestamp,day_of_week,is_weekend,season,weather_temp,is_raining,rain_intensity,location_status,event_type,heating_temp,tv_status,dog_walk,grocery_trip,dance_class,family_movie_night,confidence_score
2025-01-01 06:54,Wednesday,0,Winter,1.1,False,0.0,Home,WakeUp,21,Off,False,False,False,False,0.91
2025-01-01 08:44,Wednesday,0,Winter,0.7,False,0.0,Away,LeaveHome,21,Off,False,False,False,False,0.94
2025-01-01 16:23,Wednesday,0,Winter,0.7,False,0.0,Home,ReturnHome,21,Off,False,False,False,False,0.92
2025-01-02 07:06,Thursday,0,Winter,1.8,False,0.0,Home,WakeUp,21,Off,False,False,False,False,0.95
2025-01-02 08:10,Thursday,0,Winter,6.1,False,0.0,Away,LeaveHome,21,Off,False,False,False,False,0.91
2025-01-02 17:14,Thursday,0,Winter,2.7,False,0.0,Home,ReturnHome,21,Off,False,False,False,False,0.91
2025-01-03 07:02,Friday,0,Winter,6.8,True,0.6,Home,WakeUp,22,Off,False,False,False,False,0.95
2025-01-03 08:12,Friday,0,Winter,5.8,True,0.6,Away,LeaveHome,22,Off,False,False,False,False,0.95
2025-01-03 17:08,Friday,0,Winter,0.6,True,0.6,Home,ReturnHome,22,Off,False,False,False,False,0.93
2025-01-03 21:13,Friday,0,Winter,6.9,True,0.6,Home,TVOn,22,On,False,False,False,True,0.95
2025-01-03 22:44,Friday,0,Winter,0.4,True,0.6,Home,TVOff,22,Off,False,False,False,True,0.92
2025-01-04 10:22,Saturday,1,Winter,1.7,False,0.0,Away,DogWalk,22,Off,True,False,False,False,0.92
2025-01-04 10:59,Saturday,1,Winter,3.6,False,0.0,Home,WakeUp,22,Off,False,False,False,False,0.98
2025-01-04 17:44,Saturday,1,Winter,4.9,False,0.0,Away,DogWalk,22,Off,True,False,False,False,0.92
2025-01-05 07:35,Sunday,1,Winter,4.5,False,0.0,Home,WakeUp,21,Off,False,False,False,False,0.96
2025-01-05 07:51,Sunday,1,Winter,1.8,False,0.0,Away,DanceClass,21,Off,False,False,True,False,0.9
2025-01-05 10:27,Sunday,1,Winter,0.5,False,0.0,Away,DogWalk,21,Off,True,False,False,False,0.98
2025-01-05 18:00,Sunday,1,Winter,1.7,False,0.0,Away,GroceryShopping,21,Off,False,True,False,False,0.94
2025-01-05 18:09,Sunday,1,Winter,1.1,False,0.0,Away,DogWalk,21,Off,True,False,False,False,0.91
2025-01-06 07:28,Monday,0,Winter,1.8,False,0.0,Home,WakeUp,22,Off,False,False,False,False,0.99
2025-01-06 08:42,Monday,0,Winter,3.9,False,0.0,Away,LeaveHome,22,Off,False,False,False,False,0.97
2025-01-06 16:34,Monday,0,Winter,1.2,False,0.0,Home,ReturnHome,22,Off,False,False,False,False,0.91
2025-01-07 07:16,Tuesday,0,Winter,4.4,True,0.9,Home,WakeUp,21,Off,False,False,False,False,0.98
2025-01-07 08:17,Tuesday,0,Winter,5.5,True,0.9,Away,LeaveHome,21,Off,False,False,False,False,0.95
2025-01-07 16:54,Tuesday,0,Winter,6.1,True,0.9,Home,ReturnHome,21,Off,False,False,False,False,0.93
2025-01-08 07:12,Wednesday,0,Winter,6.1,False,0.0,Home,WakeUp,22,Off,False,False,False,False,0.95
2025-01-08 08:16,Wednesday,0,Winter,7.0,False,0.0,Away,LeaveHome,22,Off,False,False,False,False,0.93
2025-01-08 17:24,Wednesday,0,Winter,4.9,False,0.0,Home,ReturnHome,22,Off,False,False,False,False,0.91
2025-01-09 06:41,Thursday,0,Winter,0.9,False,0.0,Home,WakeUp,21,Off,False,False,False,False,0.93
2025-01-09 08:29,Thursday,0,Winter,1.9,False,0.0,Away,LeaveHome,21,Off,False,False,False,False,0.92
2025-01-09 17:32,Thursday,0,Winter,7.6,False,0.0,Home,ReturnHome,21,Off,False,False,False,False,0.91
2025-01-10 06:48,Friday,0,Winter,1.0,False,0.0,Home,WakeUp,21,Off,False,False,False,False,0.94
2025-01-10 08:45,Friday,0,Winter,1.3,False,0.0,Away,LeaveHome,21,Off,False,False,False,False,0.95
2025-01-10 17:37,Friday,0,Winter,3.4,False,0.0,Home,ReturnHome,21,Off,False,False,False,False,0.92
2025-01-10 21:08,Friday,0,Winter,5.5,False,0.0,Home,TVOn,21,On,False,False,False,True,0.96
2025-01-10 23:05,Friday,0,Winter,8.0,False,0.0,Home,TVOff,21,Off,False,False,False,True,0.96
2025-01-11 11:00,Saturday,1,Winter,4.4,True,0.3,Home,WakeUp,22,Off,False,False,False,False,0.95
2025-01-11 17:43,Saturday,1,Winter,1.8,True,0.3,Away,DogWalk,22,Off,True,False,False,False,0.98
2025-01-12 07:14,Sunday,1,Winter,4.3,False,0.0,Home,WakeUp,21,Off,False,False,False,False,0.97
2025-01-12 08:08,Sunday,1,Winter,3.8,False,0.0,Away,DanceClass,21,Off,False,False,True,False,0.97
2025-01-12 10:22,Sunday,1,Winter,0.8,False,0.0,Away,DogWalk,21,Off,True,False,False,False,0.96
2025-01-12 17:19,Sunday,1,Winter,6.9,False,0.0,Away,GroceryShopping,21,Off,False,True,False,False,0.9
2025-01-12 17:46,Sunday,1,Winter,0.5,False,0.0,Away,DogWalk,21,Off,True,False,False,False,0.97
2025-01-13 07:08,Monday,0,Winter,1.1,True,0.3,Home,WakeUp,21,Off,False,False,False,False,0.92
2025-01-13 08:39,Monday,0,Winter,2.0,True,0.3,Away,LeaveHome,21,Off,False,False,False,False,0.98
2025-01-13 17:16,Monday,0,Winter,6.5,True,0.3,Home,ReturnHome,21,Off,False,False,False,False,0.98
2025-01-14 06:50,Tuesday,0,Winter,3.3,False,0.0,Home,WakeUp,22,Off,False,False,False,False,0.94
2025-01-14 08:35,Tuesday,0,Winter,7.2,False,0.0,Away,LeaveHome,22,Off,False,False,False,False,0.91
2025-01-14 16:20,Tuesday,0,Winter,7.9,False,0.0,Home,ReturnHome,22,Off,False,False,False,False,0.92
2025-01-15 07:11,Wednesday,0,Winter,1.2,True,0.9,Home,WakeUp,22,Off,False,False,False,False,0.93
2025-01-15 08:13,Wednesday,0,Winter,4.6,True,0.9,Away,LeaveHome,22,Off,False,False,False,False,0.95
2025-01-15 17:00,Wednesday,0,Winter,0.5,True,0.9,Home,ReturnHome,22,Off,False,False,False,False,0.95
